feedback,sentiment,rating,char_length,word_length,clean_feedback,sentiment_encoded
"Good and clean hospital. There is great team of doctors and good OT facility. The medical facilities are all great with good in-patient post operative care by doctors, nurses. The housekeeping staff is also good but they can respond to calls from the room a little faster. ",1,5,273,47,good and clean hospital there is great team of doctors and good ot facility the medical facilities are all great with good inpatient post operative care by doctors nurses the housekeeping staff is also good but they can respond to calls from the room a little faster,1
Had a really bad experience during discharge. They need to be sensitive and more transparent towards the patient and his/her family. ,1,5,133,21,had a really bad experience during discharge they need to be sensitive and more transparent towards the patient and hisher family,1
I have visited to take my second dose and Process was really smooth. Hospitality from all staffs are really appreciable. Shanti tooks good care and provide all details before vaccination. Thank you.,1,4,198,32,i have visited to take my second dose and process was really smooth hospitality from all staffs are really appreciable shanti tooks good care and provide all details before vaccination thank you,1
" That person was slightly clueless and offered only one package. But once i got to the hospital, I found a better and more economical one and decided to go ahead",1,3,161,30,that person was slightly clueless and offered only one package but once i got to the hospital i found a better and more economical one and decided to go ahead,1
There is great team of doctors and good OT facility.,0,1,52,10,there is great team of doctors and good ot facility,0
"My primary concern arose from the insistence on conducting multiple tests, which appeared unrelated to my condition, before initiating any treatment.",0,2,149,21,my primary concern arose from the insistence on conducting multiple tests which appeared unrelated to my condition before initiating any treatment,0
"Good and clean hospital.  The medical facilities are all great with good in-patient post operative care by doctors, nurses. The housekeeping staff is also good but they can respond to calls from the room a little faster.",1,5,220,37,good and clean hospital the medical facilities are all great with good inpatient post operative care by doctors nurses the housekeeping staff is also good but they can respond to calls from the room a little faster,1
"Recently underwent a surgery for my left shoulder, the doctors are extremely good, but the management needs to be more patient oriented than money minded.",1,3,154,25,recently underwent a surgery for my left shoulder the doctors are extremely good but the management needs to be more patient oriented than money minded,1
"Over all experience was good, starting from reception,lab services and doctors interaction.Doctor with whom I have had consultation was so nice.He heard me with patience and clarified all my health condition.",1,5,208,31,over all experience was good starting from receptionlab services and doctors interactiondoctor with whom i have had consultation was so nicehe heard me with patience and clarified all my health condition,1
"However,the services of front office (where we report first) need to be improved( services should be fast).",1,5,107,17,howeverthe services of front office where we report first need to be improved services should be fast,1
